variable;monsterdiepte;compartiment;zone;parameter;eenheid;methode
TOC [%]_OR_50;25-50;OR;;TOC;%;
TOC [g/kg]_OR_50;25-50;OR;;TOC;g/kg;
A_AL_CO_OR_50;25-50;OR;;Aluminium (exch)  ;mmol +/ kg;liab
A_AL_M3_OR_50;25-50;OR;;Aluminium (M3);mg / kg;liab
A_AL_RT_OR_50;25-50;OR;;Aluminium total;g / kg;liab
A_AS_RT_OR_50;25-50;OR;;Arsenic total;mg /kg;liab
A_B_CO_OR_50;25-50;OR;;Boron (Exch);mmol- / kg;liab
A_B_M3_OR_50;25-50;OR;;Boron (M3) ;mg / kg;liab
A_BR_RT_OR_50;25-50;OR;;Boron total ;mg/kg;liab
A_C_OF_OR_50;25-50;OR;;Carbon organic;g/kg;liab
A_C_RT_OR_50;25-50;OR;;Carbon total  g / kg;g/kg;liab
A_CA_CO_OR_50;25-50;OR;;Calcium (Exch) ;mmol +/ kg;liab
A_CA_M3_OR_50;25-50;OR;;Calcium (M3) ;mg /kg;liab
A_CA_RT_OR_50;25-50;OR;;Calcium total; g /kg;liab
A_CEC_CO_OR_50;25-50;OR;;Cation Exhange Capacity;mmol+ / kg;liab
A_CN_OF_OR_50;25-50;OR;;ratio C / N;;liab
A_CO_M3_OR_50;25-50;OR;;Cobalt (M3) ;mg/kg;liab
A_CO_RT_OR_50;25-50;OR;;Cobalt ;mg/kg;liab
A_CR_RT_OR_50;25-50;OR;;Chromium Total ;mg/kg;liab
A_CU_M3_OR_50;25-50;OR;;Copper (M3) ;mg/kg;liab
A_CU_RT_OR_50;25-50;OR;;Copper Total;mg/kg;liab
A_DENSITY_SA_OR_50;25-50;OR;;Density;g / cm ^ 3;liab
A_EC_WA_OR_50;25-50;OR;;Electrical  conductivity;mS/m;liab
A_FE_CO_OR_50;25-50;OR;;Iron (Exch) + mmol / kg;mmol +/kg;liab
A_FE_M3_OR_50;25-50;OR;;Iron (M3) ;mg/kg;liab
A_FE_RT_OR_50;25-50;OR;;Iron total ;g/kg;liab
A_K_CO_OR_50;25-50;OR;;Potassium (Exch) ;mmol +/kg;liab
A_K_M3_OR_50;25-50;OR;;Potassium (M3);mg/kg;liab
A_K_RT_OR_50;25-50;OR;;Potassium total;g/kg;liab
A_MG_CO_OR_50;25-50;OR;;Magnesium (Exch);mmol+/kg;liab
A_MG_M3_OR_50;25-50;OR;;Magnesium (M3) ;mg/kg;liab
A_MG_RT_OR_50;25-50;OR;;Magnesium Total;g/kg;liab
A_MN_CO_OR_50;25-50;OR;;Manganese (Exch) ;mmol+/kg;liab
A_MN_M3_OR_50;25-50;OR;;Manganese (M3) ;mg/kg;liab
A_MN_RT_OR_50;25-50;OR;;Manganese total;mg/kg;liab
A_MO_CO_OR_50;25-50;OR;;Molybdenium (Exch);mmol+/kg;liab
A_MO_M3_OR_50;25-50;OR;;Molybdenium (M3) ;mg/kg;liab
A_N_RT_OR_50;25-50;OR;;Nitrogen total;g/kg;liab
A_NA_CO_OR_50;25-50;OR;;Sodium (Exch) ;mmol+/kg;liab
A_NA_RT_OR_50;25-50;OR;;Sodium total;g/kg;liab
A_NB_RT_OR_50;25-50;OR;;Niobium Total ;mg/kg;liab
A_NI_RT_OR_50;25-50;OR;;Nickel total;mg/kg;liab
A_P_M3_OR_50;25-50;OR;; Phosphorus(M3) ;mg/kg;liab
A_P_RT_OR_50;25-50;OR;; Phosphorustotal;g/kg;liab
A_PB_RT_OR_50;25-50;OR;;Lead total;mg/kg;liab
A_PH_KCL_OR_50;25-50;OR;;pH (KCl) ;-log (H +);liab
A_RB_RT_OR_50;25-50;OR;;Rubidium Total ;mg/kg;liab
A_S_RT_OR_50;25-50;OR;;Sulphur total;g/kg;liab
A_SC_RT_OR_50;25-50;OR;;Scandium Total ;mg/kg;liab
A_SI_RT_OR_50;25-50;OR;; Silicium total;g/kg;liab
A_SR_RT_OR_50;25-50;OR;;Strontium Total;mg/kg;liab
A_TI_RT_OR_50;25-50;OR;;Titanium total;g/kg;liab
A_V_RT_OR_50;25-50;OR;;Vanadium Total;mg/kg;liab
A_Y_RT_OR_50;25-50;OR;;Yttrium Total ;mg/kg;liab
A_ZN_CO_OR_50;25-50;OR;;Zinc  (Exch);mmol+/kg;liab
A_ZN_M3_OR_50;25-50;OR;;Zinc (M3) ;mg/kg;liab
A_ZN_RT_OR_50;25-50;OR;;Zinc total;mg/kg;liab
Z_AFSLIB_SA_OR_50;25-50;OR;;Afslibbaar;%;liab
Z_B_CACL2_OR_50;25-50;OR;;Boron (CaCl2) ;µg/kg;liab
Z_CACO3_IF_OR_50;25-50;OR;;inorganic carbon; %;liab
Z_CLAY_SA_OR_50;25-50;OR;;kleigehalte;%;liab
Z_CO_CACL2_OR_50;25-50;OR;;Cobalt (CaCl2);µg/kg;liab
Z_CU_CACL2_OR_50;25-50;OR;;Copper (CaCl2) ;µg/kg;liab
Z_FE_CACL2_OR_50;25-50;OR;;Iron (CaCl2);µg/kg;liab
Z_K_CACL2_OR_50;25-50;OR;;Potassium (CaCl2) ;mg K / kg;liab
Z_K_HCL_OR_50;25-50;OR;;K-HCl ;mg K2O / kg;liab
Z_MG_CACL2_OR_50;25-50;OR;;Magnesium (CaCl2) ;mg / kg;liab
Z_MN_CACL2_OR_50;25-50;OR;;Manganese (CaCl2);µg/kg;liab
Z_NA_CACL2_OR_50;25-50;OR;;Sodium (CaCl2) ;mg/kg;liab
Z_OM1_OF_OR_50;25-50;OR;;Bodem organische stof ;%;liab
Z_P_AL_OR_50;25-50;OR;;P-AL ;mg P2O5 / 100g;liab
Z_P_CACL2_OR_50;25-50;OR;;P (CaCl2) ;mg/kg;liab
Z_P_WA1_OR_50;25-50;OR;;P (water);mg P2O5 / l;liab
Z_SAND_SA_OR_50;25-50;OR;;zandgehalte;%;liab
Z_SE_CACL2_OR_50;25-50;OR;;Selenium (CaCl2);µg/kg;liab
Z_SI_CACL2_OR_50;25-50;OR;;Silicium (CaCl2);µg/kg;liab
Z_SILT_SA_OR_50;25-50;OR;;slibgehalte (monster) ;%;liab
Z_SSUPPLY_RT_OR_50;25-50;OR;;SLV ;;liab
Z_ZN_CACL2_OR_50;25-50;OR;;Zinc (CaCl2) ug / kg;µg/kg;liab
Ca_M3_mg/kg_OR_50;25-50;OR;;Ca;mg/kg;M3
K _M3_mg/kg_OR_50;25-50;OR;;K ;mg/kg;M3
Mg_M3_mg/kg_OR_50;25-50;OR;;Mg;mg/kg;M3
P _M3_mg/kg_OR_50;25-50;OR;;P ;mg/kg;M3
S _M3_mg/kg_OR_50;25-50;OR;;S ;mg/kg;M3
Al_M3_mg/kg_OR_50;25-50;OR;;Al;mg/kg;M3
B _M3_mg/kg_OR_50;25-50;OR;;B ;mg/kg;M3
Cu_M3_mg/kg_OR_50;25-50;OR;;Cu;mg/kg;M3
Fe_M3_mg/kg_OR_50;25-50;OR;;Fe;mg/kg;M3
Mn_M3_mg/kg_OR_50;25-50;OR;;Mn;mg/kg;M3
Mo_M3_mg/kg_OR_50;25-50;OR;;Mo;mg/kg;M3
Ni_M3_mg/kg_OR_50;25-50;OR;;Ni;mg/kg;M3
Zn_M3_mg/kg_OR_50;25-50;OR;;Zn;mg/kg;M3
Na_M3_mg/kg_OR_50;25-50;OR;;Na;mg/kg;M3
V _M3_mg/kg_OR_50;25-50;OR;;V ;mg/kg;M3
Co_M3_mg/kg_OR_50;25-50;OR;;Co;mg/kg;M3
P-AL mg/kg_OR_50;25-50;OR;;P-AL;mg/kg;OR
B_CC_µg/kg_OR_50;25-50;OR;;B;µg/kg;CC
Na_CC_mg/kg_OR_50;25-50;OR;;Na;mg/kg;CC
Mg_CC_mg/kg_OR_50;25-50;OR;;Mg;mg/kg;CC
Al_CC_µg/kg_OR_50;25-50;OR;;Al;µg/kg;CC
P_CC_mg/kg_OR_50;25-50;OR;;P;mg/kg;CC
S_CC_mg/kg_OR_50;25-50;OR;;S;mg/kg;CC
K_CC_mg/kg_OR_50;25-50;OR;;K;mg/kg;CC
Mn_CC_mg/kg_OR_50;25-50;OR;;Mn;mg/kg;CC
Fe_CC_mg/kg_OR_50;25-50;OR;;Fe;mg/kg;CC
Co_CC_µg/kg_OR_50;25-50;OR;;Co;µg/kg;CC
Ni_CC_µg/kg_OR_50;25-50;OR;;Ni;µg/kg;CC
Cu_CC_µg/kg_OR_50;25-50;OR;;Cu;µg/kg;CC
Zn_CC_µg/kg_OR_50;25-50;OR;;Zn;µg/kg;CC
Mo_CC_mg/kg_OR_50;25-50;OR;;Mo;mg/kg;CC
N-NH4_CC_mg/kg_OR_50;25-50;OR;;N-NH4;mg/kg;CC
N-NO3_CC_mg/kg_OR_50;25-50;OR;;N-NO3;mg/kg;CC
N-NO2_CC_mg/kg_OR_50;25-50;OR;;N-NO2;mg/kg;CC
P-PO4_CC_mg/kg_OR_50;25-50;OR;;P-PO4;mg/kg;CC
pH_CC_OR_50;25-50;OR;;pH;OR;CC
SiO2_xrf_g/kg_OR_50;25-50;OR;;SiO2;g/kg;xrf
TiO2_xrf_g/kg_OR_50;25-50;OR;;TiO2;g/kg;xrf
Al2O3_xrf_g/kg_OR_50;25-50;OR;;Al2O3;g/kg;xrf
Fe2O3_xrf_g/kg_OR_50;25-50;OR;;Fe2O3;g/kg;xrf
MnO_xrf_mg/kg_OR_50;25-50;OR;;MnO;mg/kg;xrf
MgO_xrf_g/kg_OR_50;25-50;OR;;MgO;g/kg;xrf
CaO_xrf_g/kg_OR_50;25-50;OR;;CaO;g/kg;xrf
Na2O_xrf_g/kg_OR_50;25-50;OR;;Na2O;g/kg;xrf
K2O_xrf_g/kg_OR_50;25-50;OR;;K2O;g/kg;xrf
P2O5_xrf_g/kg_OR_50;25-50;OR;;P2O5;g/kg;xrf
SO3_xrf_g/kg_OR_50;25-50;OR;;SO3;g/kg;xrf
Cr_xrf_mg/kg_OR_50;25-50;OR;;Cr;mg/kg;xrf
Sr_xrf_mg/kg_OR_50;25-50;OR;;Sr;mg/kg;xrf
Ni_xrf_mg/kg_OR_50;25-50;OR;;Ni;mg/kg;xrf
Ba_xrf_mg/kg_OR_50;25-50;OR;;Ba;mg/kg;xrf
Cu_xrf_mg/kg_OR_50;25-50;OR;;Cu;mg/kg;xrf
Zn_xrf_mg/kg_OR_50;25-50;OR;;Zn;mg/kg;xrf
Pb_xrf_mg/kg_OR_50;25-50;OR;;Pb;mg/kg;xrf
V_xrf_mg/kg_OR_50;25-50;OR;;V;mg/kg;xrf
Co_xrf_mg/kg_OR_50;25-50;OR;;Co;mg/kg;xrf
Br_xrf_mg/kg_OR_50;25-50;OR;;Br;mg/kg;xrf
Ga_xrf_mg/kg_OR_50;25-50;OR;;Ga;mg/kg;xrf
Nb_xrf_mg/kg_OR_50;25-50;OR;;Nb;mg/kg;xrf
feP_OR_CC_OR_50;25-50;OR;;feP;CC;OR
feP_OR_XRF_OR_50;25-50;OR;;feP;XRF;OR
feS_OR_CC_OR_50;25-50;OR;;feS;CC;OR
feS_OR_XRF_OR_50;25-50;OR;;feS;XRF;OR
P_CC_org_mg/kg_OR_50;25-50;OR;;P;org;CC
basen_bez_OR_50;25-50;OR;;basenbezetting;OR;bez
clusters_clustber;;;;clusters;;
sloot_nr;;;;sloot;;
